id,issue,evidence,evidence_probability,gain_metric,estimated_gain_value,remediation_class,affected_files,confidence,estimated_gain_score,estimated_gain,effort_kloc,priority,priority_formula,difficulty_basis,status,difficulty
root_cause::unstable_feature_importance,"Importance rankings do not reproduce across the 4 walk-forward folds: mean pairwise Spearman -0.0709 over 38 ranked features is -0.43 standard errors above zero (standard error 0.1644, one-sided p=0.6669), which does not reach alpha 0.05; least stable is home_L10_ra at stability 0.0 with fold ranks [38, 1, 2, 38].","{""mean_pairwise_spearman"": -0.0709, ""spearman_standard_error"": 0.1644, ""p_value"": 0.666863, ""ranked_features"": 38, ""least_stable"": [{""feature"": ""home_L10_ra"", ""stability"": 0.0, ""fold_ranks"": [38, 1, 2, 38]}, {""feature"": ""home_bat_hard_hit_pct"", ""stability"": 0.0406, ""fold_ranks"": [2, 38, 11, 35]}, {""feature"": ""away_k_rate"", ""stability"": 0.0843, ""fold_ranks"": [31, 6, 4, 37]}, {""feature"": ""wind_mph"", ""stability"": 0.0966, ""fold_ranks"": [5, 3, 38, 6]}, {""feature"": ""away_xwoba_against"", ""stability"": 0.1213, ""fold_ranks"": [10, 5, 37, 1]}, {""feature"": ""home_bat_iso"", ""stability"": 0.1516, ""fold_ranks"":",0.666863,rate,0.5789473684210527,retrain,"['pipeline/train_moneyline.py', 'pipeline/train_common.py']",Low,0.5789,Medium,0.356,108.45,"priority = 100 * relative_impact * evidence_probability / effort_kloc, where relative_impact is this run's measured gain as a share of the affected metric's current value, evidence_probability is 1 - p of the test that produced the finding, and effort_kloc is the measured non-blank source lines of the files the fix touches","356 non-blank source lines measured across 2 file(s): pipeline/train_moneyline.py (101 lines), pipeline/train_common.py (255 lines); ranked against this run's 28 backlog items, whose measured effort splits at 0.764 and 0.764 kLOC",IN_PROGRESS,Low
root_cause::insufficient_evaluation_power,"On 814 held-out rows the model's log-loss improvement over a base-rate constant predictor is -0.000793 with a bootstrap 95% interval of -0.007623–+0.004122 over 400 resamples, an interval that contains zero (p=0.6041); no finding in this report that depends on that skill is separable from resampling noise at this sample size.","{""log_loss_skill"": -0.000793, ""bootstrap_standard_error"": 0.003003, ""ci_lower"": -0.007623, ""ci_upper"": 0.004122, ""resamples"": 400, ""z"": -0.264, ""p_value"": 0.604142, ""method"": ""non-parametric bootstrap over evaluation rows of the log-loss improvement over a base-rate constant predictor; the evaluation set is underpowered when this improvement is not separable from zero at the 95% level""}",0.604142,rate,0.8652683079116714,new_data_acquisition,"['pipeline/build_features_v2.py', 'pipeline/dataset_append.py']",Low,0.8653,High,0.61,85.7,"priority = 100 * relative_impact * evidence_probability / effort_kloc, where relative_impact is this run's measured gain as a share of the affected metric's current value, evidence_probability is 1 - p of the test that produced the finding, and effort_kloc is the measured non-blank source lines of the files the fix touches","610 non-blank source lines measured across 2 file(s): pipeline/build_features_v2.py (410 lines), pipeline/dataset_append.py (200 lines); ranked against this run's 28 backlog items, whose measured effort splits at 0.764 and 0.764 kLOC",BLOCKED,Low
consistency::shadow_uses_registered_model_version,Self-consistency check 'shadow_uses_registered_model_version' failed,"shadow_v2_predictions holds 14 rows but has no model_version column, so shadow predictions cannot be attributed to a registered model version",1.0,rate,1.0,code_fix,"['pipeline/engineering_audit.py', 'services/shadow_inference_service.py', 'pipeline/model_registry.py']",High,1.0,High,1.933,51.73,"priority = 100 * relative_impact * evidence_probability / effort_kloc, where relative_impact is this run's measured gain as a share of the affected metric's current value, evidence_probability is 1 - p of the test that produced the finding, and effort_kloc is the measured non-blank source lines of the files the fix touches","1933 non-blank source lines measured across 3 file(s): pipeline/engineering_audit.py (1626 lines), services/shadow_inference_service.py (151 lines), pipeline/model_registry.py (156 lines); ranked against this run's 28 backlog items, whose measured effort splits at 0.764 and 0.764 kLOC",IN_PROGRESS,High
consistency::no_duplicated_metric_implementations,Self-consistency check 'no_duplicated_metric_implementations' failed,"reimplementations found outside pipeline/calibration_common.py: [{'file': 'projects/pitcher_props/services/pitcher_prop_analytics_service.py', 'function': 'brier_score'}, {'file': 'projects/pitcher_props/services/pitcher_prop_analytics_service.py', 'function': 'expected_calibration_error'}]",1.0,rate,1.0,code_fix,"['pipeline/engineering_audit.py', 'services/shadow_inference_service.py', 'pipeline/model_registry.py']",High,1.0,High,1.933,51.73,"priority = 100 * relative_impact * evidence_probability / effort_kloc, where relative_impact is this run's measured gain as a share of the affected metric's current value, evidence_probability is 1 - p of the test that produced the finding, and effort_kloc is the measured non-blank source lines of the files the fix touches","1933 non-blank source lines measured across 3 file(s): pipeline/engineering_audit.py (1626 lines), services/shadow_inference_service.py (151 lines), pipeline/model_registry.py (156 lines); ranked against this run's 28 backlog items, whose measured effort splits at 0.764 and 0.764 kLOC",IN_PROGRESS,High
root_cause::feature_set_quality,4 of 38 features carry a non-KEEP engineering verdict: away_xwoba_against=RE-ENCODE; home_is_lefty=REMOVE; home_days_rest=REMOVE; is_coors=REMOVE.,"{""features"": [{""feature"": ""away_xwoba_against"", ""verdict"": ""RE-ENCODE"", ""mean_rank"": 19.75, ""stability"": 0.1213, ""outcome_correlation"": 0.0683, ""method_agreement"": 0.4808, ""lofo_log_loss_delta"": -0.000149}, {""feature"": ""home_is_lefty"", ""verdict"": ""REMOVE"", ""mean_rank"": 29.5, ""stability"": 0.8409, ""outcome_correlation"": 0.0182, ""method_agreement"": 0.9459, ""lofo_log_loss_delta"": -0.000394}, {""feature"": ""home_days_rest"", ""verdict"": ""REMOVE"", ""mean_rank"": 30.5, ""stability"": 0.8409, ""outcome_correlation"": 0.0067, ""method_agreement"": 0.9459, ""lofo_log_loss_delta"": -0.000394}, {""feature"": ""is_coors"", ",0.84315,rate,0.10526315789473684,feature_engineering,"['pipeline/feature_store.py', 'pipeline/train_common.py', 'pipeline/train_moneyline.py']",Low,0.1053,Low,0.865,10.26,"priority = 100 * relative_impact * evidence_probability / effort_kloc, where relative_impact is this run's measured gain as a share of the affected metric's current value, evidence_probability is 1 - p of the test that produced the finding, and effort_kloc is the measured non-blank source lines of the files the fix touches","865 non-blank source lines measured across 3 file(s): pipeline/feature_store.py (509 lines), pipeline/train_common.py (255 lines), pipeline/train_moneyline.py (101 lines); ranked against this run's 28 backlog items, whose measured effort splits at 0.764 and 0.764 kLOC",IN_PROGRESS,High
root_cause::weak_discrimination,"AUC 0.5224 on 814 held-out rows has a 95% interval of 0.4825–0.5623 (Hanley-McNeil standard error 0.02035 over 367 positives and 447 negatives), so the interval still contains chance (0.5) at p=0.1352; the ranking achieved on this evaluation set is not separable from no ranking at all.","{""auc"": 0.5224, ""standard_error"": 0.02035, ""z_vs_chance"": 1.102, ""p_value"": 0.135182, ""ci_lower"": 0.4825, ""ci_upper"": 0.5623, ""positives"": 367, ""negatives"": 447, ""method"": ""Hanley-McNeil standard error of the ROC area, one-sided test against chance (AUC=0.5)""}",0.135182,rate,0.6404494382022476,feature_engineering,"['pipeline/feature_store.py', 'pipeline/build_features_v2.py', 'pipeline/train_moneyline.py']",Low,0.6404,Medium,1.02,8.49,"priority = 100 * relative_impact * evidence_probability / effort_kloc, where relative_impact is this run's measured gain as a share of the affected metric's current value, evidence_probability is 1 - p of the test that produced the finding, and effort_kloc is the measured non-blank source lines of the files the fix touches","1020 non-blank source lines measured across 3 file(s): pipeline/feature_store.py (509 lines), pipeline/build_features_v2.py (410 lines), pipeline/train_moneyline.py (101 lines); ranked against this run's 28 backlog items, whose measured effort splits at 0.764 and 0.764 kLOC",IN_PROGRESS,High
feature_verdict::away_k_rate,Feature 'away_k_rate' verdict INVESTIGATE,"rank stability 0.0843 < 0.5 across 4 walk-forward folds (fold ranks [31, 6, 4, 37]), mean_rank 3.5/38, agreement High",0.857,log_loss,0.001072,retrain,"['pipeline/feature_store.py', 'pipeline/train_common.py']",Low,0.0016,Low,0.764,0.17,"priority = 100 * relative_impact * evidence_probability / effort_kloc, where relative_impact is this run's measured gain as a share of the affected metric's current value, evidence_probability is 1 - p of the test that produced the finding, and effort_kloc is the measured non-blank source lines of the files the fix touches","764 non-blank source lines measured across 2 file(s): pipeline/feature_store.py (509 lines), pipeline/train_common.py (255 lines); ranked against this run's 28 backlog items, whose measured effort splits at 0.764 and 0.764 kLOC",IN_PROGRESS,Low
feature_verdict::home_bat_k_rate,Feature 'home_bat_k_rate' verdict INVESTIGATE,"rank stability 0.1633 < 0.5 across 4 walk-forward folds (fold ranks [36, 4, 3, 10]), mean_rank 10.5/38, agreement Low",0.3627,log_loss,0.002061,retrain,"['pipeline/feature_store.py', 'pipeline/train_common.py']",Low,0.003,Low,0.764,0.14,"priority = 100 * relative_impact * evidence_probability / effort_kloc, where relative_impact is this run's measured gain as a share of the affected metric's current value, evidence_probability is 1 - p of the test that produced the finding, and effort_kloc is the measured non-blank source lines of the files the fix touches","764 non-blank source lines measured across 2 file(s): pipeline/feature_store.py (509 lines), pipeline/train_common.py (255 lines); ranked against this run's 28 backlog items, whose measured effort splits at 0.764 and 0.764 kLOC",IN_PROGRESS,Low
feature_verdict::home_bat_hard_hit_pct,Feature 'home_bat_hard_hit_pct' verdict INVESTIGATE,"rank stability 0.0406 < 0.5 across 4 walk-forward folds (fold ranks [2, 38, 11, 35]), mean_rank 11.0/38, agreement Medium",0.7039,log_loss,0.001027,retrain,"['pipeline/feature_store.py', 'pipeline/train_common.py']",Low,0.0015,Low,0.764,0.14,"priority = 100 * relative_impact * evidence_probability / effort_kloc, where relative_impact is this run's measured gain as a share of the affected metric's current value, evidence_probability is 1 - p of the test that produced the finding, and effort_kloc is the measured non-blank source lines of the files the fix touches","764 non-blank source lines measured across 2 file(s): pipeline/feature_store.py (509 lines), pipeline/train_common.py (255 lines); ranked against this run's 28 backlog items, whose measured effort splits at 0.764 and 0.764 kLOC",IN_PROGRESS,Low
feature_verdict::home_L10_ra,Feature 'home_L10_ra' verdict INVESTIGATE,"rank stability 0.0 < 0.5 across 4 walk-forward folds (fold ranks [38, 1, 2, 38]), mean_rank 5.5/38, agreement Medium",0.6539,log_loss,0.000871,retrain,"['pipeline/feature_store.py', 'pipeline/train_common.py']",Low,0.0013,Low,0.764,0.11,"priority = 100 * relative_impact * evidence_probability / effort_kloc, where relative_impact is this run's measured gain as a share of the affected metric's current value, evidence_probability is 1 - p of the test that produced the finding, and effort_kloc is the measured non-blank source lines of the files the fix touches","764 non-blank source lines measured across 2 file(s): pipeline/feature_store.py (509 lines), pipeline/train_common.py (255 lines); ranked against this run's 28 backlog items, whose measured effort splits at 0.764 and 0.764 kLOC",IN_PROGRESS,Low
